Cellular_location
Secreted
Cell membrane
Cell membrane
Secreted
Secreted
Secreted
Cell membrane
Cell membrane
Cell membrane
Membrane
Membrane
Membrane
Cell membrane
Secreted
Cell membrane
Cell membrane
Cell membrane
Cytoplasm
Cell membrane
Cell membrane
Secreted
Secreted
Cell membrane
Membrane
Membrane
Secreted
Secreted
Secreted
Secreted
Cell membrane
Membrane
Membrane
Cell membrane
Secreted
Cell membrane
Secreted
Cytoplasm
Secreted
Membrane
Membrane
Secreted
Cell membrane
Cell membrane
Secreted
Secreted
Secreted
Cell membrane
Cell membrane
Membrane
Membrane
Secreted
Cell membrane
Membrane
Membrane
Membrane
Secreted
Membrane
Membrane
Cell membrane
Secreted
Secreted
Secreted
Peroxisome
Membrane
Endoplasmic reticulum lumen
Endoplasmic reticulum lumen
Endoplasmic reticulum membrane
Endoplasmic reticulum-Golgi intermediate compartment membrane
Cell membrane
Endoplasmic reticulum-Golgi intermediate compartment
Membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Cytoplasm
Cell membrane
Cell membrane
Secreted
Secreted
Secreted
Secreted
Secreted
Secreted
Secreted
Cell membrane
Cell membrane
Cytoplasmic vesicle
Secreted
Membrane
Secreted
Secreted
Secreted
Cell membrane
Secreted
Cytoplasm
Secreted
Cytoplasm
Secreted
Endoplasmic reticulum lumen
Endoplasmic reticulum membrane
Cell membrane
Cell membrane
Cell membrane
Membrane
Membrane
Membrane
Membrane
Cell membrane
Cell membrane
Cell membrane
Secreted
Membrane
Secreted
Endoplasmic reticulum membrane
Secreted
Membrane
Cell membrane
Cell membrane
Secreted
Cell membrane
Cell membrane
Cell membrane
Membrane
Membrane
Membrane
Cytoplasmic vesicle
Cytoplasmic vesicle
Cytoplasmic vesicle
Cell membrane
Membrane
Cell membrane
Membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Secreted
Secreted
Secreted
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Membrane
Cell membrane
Membrane
Cell membrane
Cell membrane
Secreted
Secreted
Secreted
Secreted
Membrane
Secreted
Secreted
Secreted
Secreted
Cytoplasm
Membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Cytoplasmic
Membrane
Membrane
Nucleus
Cell membrane
Membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Membrane
Membrane
Membrane
Membrane
Secreted
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Membrane
Membrane
Membrane
Cell membrane
Membrane
Membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Cytoplasm
Late endosome membrane
Secreted
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Cytoplasm
Cell membrane
Membrane
""
Cytoplasm
Mitochondrion matrix
Membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Membrane
Membrane
Cell membrane
Cell membrane
Cell membrane
Membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Membrane
Cell membrane
Cell membrane
Secreted
Secreted
Secreted
Secreted
Secreted
Secreted
Cell membrane
Endoplasmic reticulum membrane
Cell membrane
Cell membrane
Secreted
Membrane
Membrane
Cell membrane
Cell membrane
Membrane
Cell membrane
Cell membrane
Membrane
Cell membrane
Cell membrane
Secreted
Secreted
Secreted
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Secreted
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Secreted
Secreted
Secreted
Secreted
Secreted
Cell membrane
Endoplasmic reticulum membrane
Membrane
Cell membrane
Cell membrane
Membrane
Membrane
Cell membrane
Cell membrane
Secreted
Secreted
Cell membrane
Secreted
Secreted
Secreted
Secreted
Membrane
Secreted
Secreted
Secreted
Secreted
Cytoplasm
Membrane
Secreted
Cell membrane
Secreted
Cell membrane
Cytoplasmic
Cell membrane
Cell membrane
Secreted
Cell membrane
Cell membrane
Secreted
Membrane
Cell membrane
Cell membrane
Membrane
Membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Membrane
